Date,Ca Mau Mobilized (mn kWh),Nhon Trach 1 Mobilized (mn kWh),Nhon Trach 2 (NT2) Mobilized (mn kWh),Hua Na Mobilized (mn kWh),Dak Drinh Mobilized (mn kWh),Vung Ang Mobilized (mn kWh),POW Mobilized (mn kWh),Ca Mau Contracted (mn kWh),Nhon Trach 1 Contracted (mn kWh),Nhon Trach 2 (NT2) Contracted (mn kWh),Hua Na Contracted (mn kWh),Dak Drinh Contracted (mn kWh),Vung Ang Contracted (mn kWh),POW Contracted (mw kWh),Ca Mau Revenue (VNDbn),Nhon Trach 1 Revenue (VNDbn),Nhon Trach 2 (NT2) Revenue (VNDbn),Hua Na Revenue (VNDbn),Dak Drinh Revenue (VNDbn),Vung Ang Revenue (VNDbn),Ca Mau ASP (VND/kWh),Nhon Trach 1 ASP (VND/kWh),Nhon Trach 2 (NT2) ASP (VND/kWh),Hua Na ASP (VND/kWh),Dak Drinh ASP (VND/kWh),Vung Ang ASP (VND/kWh)
31/1/2018,622.859,263.193,518.673,44.342,88.759,474.412,2012.238,0,162.15,369.73,28.44,35.79,478.61,1074.72,,,,,,,,,,,,
28/2/2018,472.118,243.817,326.517,27.367,35.007,444.002,1548.828,0,134.12,240.81,27.55,19.39,340.4,762.27,,,,,,,,,,,,
31/3/2018,639.165,323.239,484.894,68.531,58.22,589.884,2163.933,0,253.21,404.05,33.49,27.14,534.93,1252.82,,,,,,,,,,,,
30/4/2018,712.954,308.329,461.472,30.334,33.056,460.78,2006.925,0,248.71,421.5,41.55,26.91,352.74,1091.41,,,,,,,,,,,,
31/5/2018,648.241948,244.519398,399.468402,47.413266,49.531716,646.526106,2035.700836,0,251.55,420.27,44.58,29.19,525.23,1270.82,,,,,,,,,,,,
30/6/2018,648.102767,288.04182,403.305855,54.911024,35.366344,522.590526,1952.318336,0,210.01,323.98,42.17,27.15,515.61,1118.92,,,,,,,,,,,,
31/7/2018,644.3,271.9,280,81.3,23.9,346.2,1647.6,0,192.27,245.13,41.04,31.96,395.11,905.51,,,,,,,,,,,,
31/8/2018,463.25,204.31,328.85,136.55,6.31,244.24,1383.51,0,168.79,293.99,54.95,28.05,191.3,737.08,,,,,,,,,,,,
30/9/2018,337.21,127.43,316.41,131.84,59.31,231.39,1203.59,0,180.23,289.52,72.28,27.2,200.06,769.29,,,,,,,,,,,,
31/10/2018,567.56,113.44,327.05,85.06,33.54,307.81,1434.46,0,207.8,286.07,58.84,43.3,303.44,899.45,,,,,,,,,,,,
30/11/2018,665.41,239.92,435.06,57.6,0,203.77,1601.76,0,211.39,371.44,40.33,69.21,454.01,1146.38,,,,,,,,,,,,
31/12/2018,719.05,306.19,468.25,39.62,0,405.6,1938.71,0,229.09,358.12,30.2,67.55,593.96,1278.92,,,,,,,,,,,,
31/1/2019,682.22,304.312,434.486,45.407,52.886,391.253,1910.564,0,171.44,294.35,30.04,13.35,486.35,995.53,,,,,,,,,,,,
28/2/2019,558.87,222.29,294.67,41.15,37.79,393.57,1548.34,0,127.17,210.21,25.19,13.21,428.36,804.14,,,,,,,,,,,,
31/3/2019,687.99,325.21,499.01,44.43,36.01,449.02,2041.67,0,214.96,349.41,34.65,17.67,493.33,1110.02,,,,,,,,,,,,
30/4/2019,696.108,295.168,422.643,51.436,46.036,400.523,1911.914,0,193.12,319.24,41.13,26.67,479.47,1059.63,,,,,,,,,,,,
31/5/2019,767.2,295,417.6,37.1,31.1,584.3,2132.3,0,214.84,373.32,38.77,25.98,499.1,1152.01,,,,,,,,,,,,
